Field,ID,Type (Type),default,en-us,uk,ru,bg
HolographicScreenshotCaption23,472,Text,,,,,
HolographicScreenshotCaption24,473,Text,,,,,
HolographicScreenshotCaption25,474,Text,,,,,
HolographicScreenshotCaption26,475,Text,,,,,
HolographicScreenshotCaption27,476,Text,,,,,
HolographicScreenshotCaption28,477,Text,,,,,
HolographicScreenshotCaption29,478,Text,,,,,
HolographicScreenshotCaption30,479,Text,,,,,
SurfaceHubScreenshot11,510,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshot12,511,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshot13,512,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshot14,513,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshot15,514,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshot16,515,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshot17,516,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshot18,517,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshot19,518,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshot20,519,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshot21,520,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshot22,521,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshot23,522,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshot24,523,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshot25,524,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshot26,525,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshot27,526,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshot28,527,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshot29,528,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshot30,529,Relative path (or URL to file in Partner Center),,,,,
SurfaceHubScreenshotCaption11,560,Text,,,,,
SurfaceHubScreenshotCaption12,561,Text,,,,,
SurfaceHubScreenshotCaption13,562,Text,,,,,
SurfaceHubScreenshotCaption14,563,Text,,,,,
SurfaceHubScreenshotCaption15,564,Text,,,,,
SurfaceHubScreenshotCaption16,565,Text,,,,,
SurfaceHubScreenshotCaption17,566,Text,,,,,
SurfaceHubScreenshotCaption18,567,Text,,,,,
SurfaceHubScreenshotCaption19,568,Text,,,,,
SurfaceHubScreenshotCaption20,569,Text,,,,,
SurfaceHubScreenshotCaption21,570,Text,,,,,
SurfaceHubScreenshotCaption22,571,Text,,,,,
SurfaceHubScreenshotCaption23,572,Text,,,,,
SurfaceHubScreenshotCaption24,573,Text,,,,,
SurfaceHubScreenshotCaption25,574,Text,,,,,
SurfaceHubScreenshotCaption26,575,Text,,,,,
SurfaceHubScreenshotCaption27,576,Text,,,,,
SurfaceHubScreenshotCaption28,577,Text,,,,,
SurfaceHubScreenshotCaption29,578,Text,,,,,
SurfaceHubScreenshotCaption30,579,Text,,,,,
StoreLogo720x1080,600,Relative path (or URL to file in Partner Center),,,,,
StoreLogo1080x1080,601,Relative path (or URL to file in Partner Center),,,,,
StoreLogo300x300,602,Relative path (or URL to file in Partner Center),,,,,
OverrideLogosForWin10,603,True/False,,False,False,False,False
StoreLogoOverride150x150,604,Relative path (or URL to file in Partner Center),,,,,
StoreLogoOverride71x71,605,Relative path (or URL to file in Partner Center),,,,,
PromoImage1920x1080,606,Relative path (or URL to file in Partner Center),,,,,
PromoImage2400x1200,607,Relative path (or URL to file in Partner Center),,,,,
XboxBrandedKeyArt584x800,608,Relative path (or URL to file in Partner Center),,,,,
XboxTitledHero1920x1080,609,Relative path (or URL to file in Partner Center),,,,,
XboxFeaturedPromo1080x1080,610,Relative path (or URL to file in Partner Center),,,,,
OptionalPromo358x358,611,Relative path (or URL to file in Partner Center),,,,,
OptionalPromo1000x800,612,Relative path (or URL to file in Partner Center),,,,,
OptionalPromo414x180,613,Relative path (or URL to file in Partner Center),,,,,
Feature1,700,Text,,"Fixes words typed in the wrong keyboard layout automatically, as you finish each word","Автоматично виправляє слова, набрані не в тій розкладці, щойно слово завершено","Автоматически исправляет слова, набранные не в той раскладке, как только набор слова окончен",
Feature2,701,Text,,"Three languages together — English, Ukrainian and Russian — not just a two-layout toggle","Три мови разом — англійська, українська та російська, а не просто перемикач двох розкладок","Три языка одновременно — английский, украинский и русский, а не просто переключатель двух раскладок",
Feature3,702,Text,,Checks every layout Windows has installed against that language's dictionary,Перевіряє кожну встановлену у Windows розкладку словником відповідної мови,Проверяет каждую установленную в Windows раскладку словарём соответствующего языка,
Feature4,703,Text,,"Words valid in both Ukrainian and Russian follow your preference, and are corrected later if the phrase proves otherwise","Слова, дійсні і українською, і російською, ідуть за вашим вибором, а згодом виправляються, якщо фраза виявилася іншою мовою","Слова, верные и в украинском, и в русском, следуют вашему выбору и исправляются позже, если фраза оказалась на другом языке",
Feature5,704,Text,,Manual trigger — double Ctrl by default — converts the last word or the current selection,Ручний тригер — типово подвійний Ctrl — конвертує останнє слово або виділений текст,Ручной триггер — по умолчанию двойной Ctrl — преобразует последнее слово или выделенный текст,
Feature6,705,Text,,"Tap the trigger again to step through the other layouts, once more to undo","Повторне натискання перебирає інші розкладки, ще одне — скасовує","Повторное нажатие перебирает другие раскладки, ещё одно — отменяет",
Feature7,706,Text,,A chip under the corrected word shows what changed and how to undo it,"Поля паролів, менеджери паролів і термінали не зачіпаються; можна виключити будь-який застосунок","Подсказка под исправленным словом показывает, что изменилось и как это отменить",
Feature8,707,Text,,"Password fields, password managers and terminals are left alone; you can exclude any ap",Списки «ніколи не конвертувати» та «конвертувати завжди» для окремих слів,"Поля паролей, менеджеры паролей и терминалы не исключены по умолчанию; можно исключить любое приложение",
Feature9,708,Text,,Never-convert and always-convert lists for individual words,"Пауза на півгодини, годину або до перезапуску",Списки «никогда не преобразовывать» и «преобразовывать всегда» для частных случаев и имен собственных,
Feature10,709,Text,,"Pause for half an hour, an hour, or until restart",Необов'язкове запам'ятовування розкладки для кожного застосунку,"Пауза на полчаса, час или до перезапуска",
Feature11,710,Text,,Optional per-application layout memory,"Жодних мережевих з'єднань, жодної телеметрії, нічого не зберігається — відкритий код за ліцензією MIT",Необязательное запоминание раскладки для каждого приложения,
Feature12,711,Text,,"No network connections, no telemetry, nothing stored — open source under the MIT licence",,"Никаких сетевых соединений, никакой телеметрии, ничего не сохраняется — открытый код по лицензии MIT",
Feature13,712,Text,,,,,
Feature14,713,Text,,,,,
Feature15,714,Text,,,,,
Feature16,715,Text,,,,,
Feature17,716,Text,,,,,
Feature18,717,Text,,,,,
Feature19,718,Text,,,,,
Feature20,719,Text,,,,,
MinimumHardwareReq1,800,Text,,,,,
MinimumHardwareReq2,801,Text,,,,,
MinimumHardwareReq3,802,Text,,,,,
MinimumHardwareReq4,803,Text,,,,,
MinimumHardwareReq5,804,Text,,,,,
MinimumHardwareReq6,805,Text,,,,,
MinimumHardwareReq7,806,Text,,,,,
MinimumHardwareReq8,807,Text,,,,,
MinimumHardwareReq9,808,Text,,,,,
MinimumHardwareReq10,809,Text,,,,,
MinimumHardwareReq11,810,Text,,,,,
RecommendedHardwareReq1,850,Text,,,,,
RecommendedHardwareReq2,851,Text,,,,,
RecommendedHardwareReq3,852,Text,,,,,
RecommendedHardwareReq4,853,Text,,,,,
RecommendedHardwareReq5,854,Text,,,,,
RecommendedHardwareReq6,855,Text,,,,,
RecommendedHardwareReq7,856,Text,,,,,
RecommendedHardwareReq8,857,Text,,,,,
RecommendedHardwareReq9,858,Text,,,,,
RecommendedHardwareReq10,859,Text,,,,,
RecommendedHardwareReq11,860,Text,,,,,
SearchTerm1,900,Text,,keyboard layout switcher,виправлення розкладки клавіатури,переключатель раскладки,
SearchTerm2,901,Text,,keyboard layout fixer,перемикання розкладок клавіатури,исправление раскладки клавиатуры,
SearchTerm3,902,Text,,multilingual keyboard switch,багатомовне введення тексту,переключение раскладки автоматически,
SearchTerm4,903,Text,,language layout autocorrect,безкоштовний перемикач розкладок,исправитель неправильной раскладки,
SearchTerm5,904,Text,,,автоматичний перемикач клавіатури,смена раскладки клавиатуры,
SearchTerm6,905,Text,,,,автоматическое исправление раскладки,
SearchTerm7,906,Text,,,,переключатель языков клавиатуры,
TrailerToPlayAtTopOfListing,999,Relative path (or URL to file in Partner Center),,,,,
Trailer1,1000,Relative path (or URL to file in Partner Center),,,,,
Trailer2,1001,Relative path (or URL to file in Partner Center),,,,,
Trailer3,1002,Relative path (or URL to file in Partner Center),,,,,
Trailer4,1003,Relative path (or URL to file in Partner Center),,,,,
Trailer5,1004,Relative path (or URL to file in Partner Center),,,,,
Trailer6,1005,Relative path (or URL to file in Partner Center),,,,,
Trailer7,1006,Relative path (or URL to file in Partner Center),,,,,
Trailer8,1007,Relative path (or URL to file in Partner Center),,,,,
Trailer9,1008,Relative path (or URL to file in Partner Center),,,,,
Trailer10,1009,Relative path (or URL to file in Partner Center),,,,,
Trailer11,1010,Relative path (or URL to file in Partner Center),,,,,
Trailer12,1011,Relative path (or URL to file in Partner Center),,,,,
Trailer13,1012,Relative path (or URL to file in Partner Center),,,,,
Trailer14,1013,Relative path (or URL to file in Partner Center),,,,,
Trailer15,1014,Relative path (or URL to file in Partner Center),,,,,
TrailerTitle1,1020,Text,,,,,
TrailerTitle2,1021,Text,,,,,
TrailerTitle3,1022,Text,,,,,
TrailerTitle4,1023,Text,,,,,
TrailerTitle5,1024,Text,,,,,
TrailerTitle6,1025,Text,,,,,
TrailerTitle7,1026,Text,,,,,
TrailerTitle8,1027,Text,,,,,
TrailerTitle9,1028,Text,,,,,
TrailerTitle10,1029,Text,,,,,
TrailerTitle11,1030,Text,,,,,
TrailerTitle12,1031,Text,,,,,
TrailerTitle13,1032,Text,,,,,
TrailerTitle14,1033,Text,,,,,
TrailerTitle15,1034,Text,,,,,
TrailerThumbnail1,1040,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail2,1041,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail3,1042,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail4,1043,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail5,1044,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail6,1045,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail7,1046,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail8,1047,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail9,1048,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail10,1049,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail11,1050,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail12,1051,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail13,1052,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail14,1053,Relative path (or URL to file in Partner Center),,,,,
TrailerThumbnail15,1054,Relative path (or URL to file in Partner Center),,,,,
TrailerClosedCaption1,1055,Relative path (or URL to file in Partner Center),,,,,
TrailerClosedCaption2,1056,Relative path (or URL to file in Partner Center),,,,,
TrailerClosedCaption3,1057,Relative path (or URL to file in Partner Center),,,,,
TrailerClosedCaption4,1058,Relative path (or URL to file in Partner Center),,,,,
TrailerClosedCaption5,1059,Relative path (or URL to file in Partner Center),,,,,
TrailerClosedCaption6,1060,Relative path (or URL to file in Partner Center),,,,,
TrailerClosedCaption7,1061,Relative path (or URL to file in Partner Center),,,,,
TrailerClosedCaption8,1062,Relative path (or URL to file in Partner Center),,,,,
TrailerClosedCaption9,1063,Relative path (or URL to file in Partner Center),,,,,
TrailerClosedCaption10,1064,Relative path (or URL to file in Partner Center),,,,,
TrailerClosedCaption11,1065,Relative path (or URL to file in Partner Center),,,,,
TrailerClosedCaption12,1066,Relative path (or URL to file in Partner Center),,,,,
TrailerClosedCaption13,1067,Relative path (or URL to file in Partner Center),,,,,
TrailerClosedCaption14,1068,Relative path (or URL to file in Partner Center),,,,,
TrailerClosedCaption15,1069,Relative path (or URL to file in Partner Center),,,,,
TrailerAudioDescription1,1070,Relative path (or URL to file in Partner Center),,,,,
TrailerAudioDescription2,1071,Relative path (or URL to file in Partner Center),,,,,
TrailerAudioDescription3,1072,Relative path (or URL to file in Partner Center),,,,,
TrailerAudioDescription4,1073,Relative path (or URL to file in Partner Center),,,,,
TrailerAudioDescription5,1074,Relative path (or URL to file in Partner Center),,,,,
TrailerAudioDescription6,1075,Relative path (or URL to file in Partner Center),,,,,
TrailerAudioDescription7,1076,Relative path (or URL to file in Partner Center),,,,,
TrailerAudioDescription8,1077,Relative path (or URL to file in Partner Center),,,,,
TrailerAudioDescription9,1078,Relative path (or URL to file in Partner Center),,,,,
TrailerAudioDescription10,1079,Relative path (or URL to file in Partner Center),,,,,
TrailerAudioDescription11,1080,Relative path (or URL to file in Partner Center),,,,,
TrailerAudioDescription12,1081,Relative path (or URL to file in Partner Center),,,,,
TrailerAudioDescription13,1082,Relative path (or URL to file in Partner Center),,,,,
TrailerAudioDescription14,1083,Relative path (or URL to file in Partner Center),,,,,
TrailerAudioDescription15,1084,Relative path (or URL to file in Partner Center),,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
